CUSTOMER,SEQUENCE,CUSTOMER_NAME,Division,ORDER_,DESPATCH_,ORDER_LINE,ITEM,DESCRIPTION,QTY,Item_Weight,Total_Weight,Item_Type,Item_Class,Destination_Country,LONG_DANGEROUS_CODE,COMMITED_DATE,EXPECTED_DATE,REQUESTED_SHIP_BY_DATE,CUSTOMER_REQUESTED_DATE,REQUESTED_DATE,CREATION_TIME,RP_STATUS_TIME,PP_STATUS_TIME,PC_Status_Time,CP_Status_Time,CO_Status_Time,ALLOCATION_TIME,PICK_LIST_PRINTED_TIME,STATUS,STOCKROOM,Time_Zone_Hours,CRITICALITY,Carrier,Dispatch_method,Customer_Reference,Terms_of_Delivery,PACKING,Fiscal_Document_Type,Tax_Engine_Status,Pre_Carriage_Load_ID,Main_Carriage_Load_ID,LATE_SHIP_DATE,LATE_SHIP_TIME,End_User_Name
DRP40,001,CONTINENTAL GOLD LIMITED SUCURSAL C,PARTSERV            ,0044690,02,2,56005821,JOYSTICK CONTROLLER                 ,1.00,0.060,0.060,P,LT,,,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,2026-01-26,2026-01-26 16:01:38,,,,,,2026-02-13 15:24:38,2026-02-13 15:24:38,PP,01,-6:00,3,,,,CIP,,,,,,,00:00:00,CONTINENTAL GOLD LIMITED SUCURSAL C
00093,A01,ARIS MINING SEGOVIA                ,PARTSERV            ,0044661,11,37,73280265,PLUG                                ,2.00,0.001,0.002,P,DS,,,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,2026-01-28,2026-01-23 11:23:09,,,,,,2026-02-13 15:13:32,2026-02-13 15:13:32,PP,01,-6:00,2,,,,CIP,,,,,,,00:00:00,ARIS MINING SEGOVIA                
00093,A01,ARIS MINING SEGOVIA                ,PARTSERV            ,0044661,11,2,BG00323889,O-RING SEAL                         ,1.00,0.010,0.010,P,DR,,,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,2026-01-28,2026-01-23 11:23:08,,,,,,2026-02-13 15:13:32,2026-02-13 15:13:32,PP,01,-6:00,2,,,,CIP,,,,,,,00:00:00,ARIS MINING SEGOVIA                
00093,A01,ARIS MINING SEGOVIA                ,PARTSERV            ,0044661,11,10,BR00050634,SAFETY FILTER                       ,1.00,0.180,0.180,P,JD,,,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,2026-01-28,2026-01-23 11:23:08,,,,,,2026-02-13 15:13:32,2026-02-13 15:13:32,PP,01,-6:00,2,,,,CIP,,,,,,,00:00:00,ARIS MINING SEGOVIA                
00093,A01,ARIS MINING SEGOVIA                ,PARTSERV            ,0044661,11,19,BG00323894,RETAINING RING                      ,1.00,0.004,0.004,P,DR,,,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,2026-01-28,2026-01-23 11:23:08,,,,,,2026-02-13 15:13:32,2026-02-13 15:13:32,PP,01,-6:00,2,,,,CIP,,,,,,,00:00:00,ARIS MINING SEGOVIA                
00093,A01,ARIS MINING SEGOVIA                ,PARTSERV            ,0044661,11,20,88289309,SEAL KIT                            ,1.00,0.004,0.004,P,DR,,,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,2026-01-28,2026-01-23 11:23:08,,,,,,2026-02-13 15:13:32,2026-02-13 15:13:32,PP,01,-6:00,2,,,,CIP,,,,,,,00:00:00,ARIS MINING SEGOVIA                
00093,A01,ARIS MINING SEGOVIA                ,PARTSERV            ,0044661,11,23,BG00245615,ADAPTER                             ,3.00,0.020,0.060,P,DR,,,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,2026-01-28,2026-01-23 11:23:08,,,,,,2026-02-13 15:13:32,2026-02-13 15:13:32,PP,01,-6:00,2,,,,CIP,,,,,,,00:00:00,ARIS MINING SEGOVIA                
00093,A01,ARIS MINING SEGOVIA                ,PARTSERV            ,0044661,11,24,85647329,MALE STUD FITTING                   ,1.00,0.026,0.026,P,DR,,,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,2026-01-28,2026-01-23 11:23:08,,,,,,2026-02-13 15:13:32,2026-02-13 15:13:32,PP,01,-6:00,2,,,,CIP,,,,,,,00:00:00,ARIS MINING SEGOVIA                
00093,A01,ARIS MINING SEGOVIA                ,PARTSERV            ,0044661,11,26,70900056,RAIL                                ,1.00,19.000,19.000,P,DS,,,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,2026-01-28,2026-01-23 11:23:08,,,,,,2026-02-13 15:13:32,2026-02-13 15:13:32,PP,01,-6:00,2,,,,CIP,,,,,,,00:00:00,ARIS MINING SEGOVIA                
00035,A01,ARIS MINING MARMATO S.A.S          ,PARTSERV            ,0044654,03,12,BG01326079,NOZZLE                              ,6.00,0.520,3.120,P,LT,,,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,2026-01-28,2026-01-23 09:37:36,,,,,,2026-02-13 15:13:29,2026-02-13 15:13:30,PP,01,-6:00,2,,,,DDP,,,,,,,00:00:00,ARIS MINING MARMATO S.A.S          
00035,A01,ARIS MINING MARMATO S.A.S          ,PARTSERV            ,0044654,03,13,BG01419977,"BLADE, WIPER                        ",1.00,0.060,0.060,P,LT,,,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,2026-01-28,2026-01-23 09:37:36,,,,,,2026-02-13 15:13:29,2026-02-13 15:13:30,PP,01,-6:00,2,,,,DDP,,,,,,,00:00:00,ARIS MINING MARMATO S.A.S          
00035,A01,ARIS MINING MARMATO S.A.S          ,PARTSERV            ,0044654,03,17,BG00415623,GASKET                              ,1.00,0.005,0.005,P,LT,,,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,2026-01-28,2026-01-23 09:37:36,,,,,,2026-02-13 15:13:29,2026-02-13 15:13:30,PP,01,-6:00,2,,,,DDP,,,,,,,00:00:00,ARIS MINING MARMATO S.A.S          
00035,A01,ARIS MINING MARMATO S.A.S          ,PARTSERV            ,0044654,03,18,56023917,FAN GUARD                           ,1.00,0.260,0.260,P,LT,,,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,2026-01-28,2026-01-23 09:37:36,,,,,,2026-02-13 15:13:30,2026-02-13 15:13:30,PP,01,-6:00,2,,,,DDP,,,,,,,00:00:00,ARIS MINING MARMATO S.A.S          
00035,A01,ARIS MINING MARMATO S.A.S          ,PARTSERV            ,0044654,03,20,56001669,GREASE NIPPLE                       ,2.00,0.100,0.200,P,LT,,,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,2026-01-28,2026-01-23 09:37:36,,,,,,2026-02-13 15:13:30,2026-02-13 15:13:30,PP,01,-6:00,2,,,,DDP,,,,,,,00:00:00,ARIS MINING MARMATO S.A.S          
00035,A01,ARIS MINING MARMATO S.A.S          ,PARTSERV            ,0044654,03,26,BG01120783,"VALVE, SHUTTER                      ",1.00,0.340,0.340,P,LT,,,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,2026-01-28,2026-01-23 09:37:36,,,,,,2026-02-13 15:13:30,2026-02-13 15:13:30,PP,01,-6:00,2,,,,DDP,,,,,,,00:00:00,ARIS MINING MARMATO S.A.S          
00035,A01,ARIS MINING MARMATO S.A.S          ,PARTSERV            ,0044654,03,27,BG01598933,ADAPTER                             ,2.00,0.040,0.080,P,LT,,,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,2026-01-28,2026-01-23 09:37:36,,,,,,2026-02-13 15:13:30,2026-02-13 15:13:30,PP,01,-6:00,2,,,,DDP,,,,,,,00:00:00,ARIS MINING MARMATO S.A.S          
00035,A01,ARIS MINING MARMATO S.A.S          ,PARTSERV            ,0044654,03,28,02722071,PIPE                                ,4.00,2.660,10.640,P,LT,,,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,2026-01-28,2026-01-23 09:37:36,,,,,,2026-02-13 15:13:30,2026-02-13 15:13:30,PP,01,-6:00,2,,,,DDP,,,,,,,00:00:00,ARIS MINING MARMATO S.A.S          
00035,A01,ARIS MINING MARMATO S.A.S          ,PARTSERV            ,0044654,03,30,02722091,PIPE                                ,1.00,3.800,3.800,P,LT,,,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,2026-01-28,2026-01-23 09:37:36,,,,,,2026-02-13 15:13:30,2026-02-13 15:13:30,PP,01,-6:00,2,,,,DDP,,,,,,,00:00:00,ARIS MINING MARMATO S.A.S          
00035,A01,ARIS MINING MARMATO S.A.S          ,PARTSERV            ,0044654,03,31,02722101,PIPE                                ,1.00,4.130,4.130,P,LT,,,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,2026-01-28,2026-01-23 09:37:36,,,,,,2026-02-13 15:13:30,2026-02-13 15:13:30,PP,01,-6:00,2,,,,DDP,,,,,,,00:00:00,ARIS MINING MARMATO S.A.S          
00035,A01,ARIS MINING MARMATO S.A.S          ,PARTSERV            ,0044654,03,32,56027382,PLATE                               ,2.00,5.560,11.120,P,LT,,,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,2026-01-28,2026-01-23 09:37:36,,,,,,2026-02-13 15:13:30,2026-02-13 15:13:30,PP,01,-6:00,2,,,,DDP,,,,,,,00:00:00,ARIS MINING MARMATO S.A.S          
00035,A01,ARIS MINING MARMATO S.A.S          ,PARTSERV            ,0044654,03,33,56027383,PLASTIC PLATE                       ,2.00,0.100,0.200,P,LT,,,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,2026-01-28,2026-01-23 09:37:36,,,,,,2026-02-13 15:13:30,2026-02-13 15:13:30,PP,01,-6:00,2,,,,DDP,,,,,,,00:00:00,ARIS MINING MARMATO S.A.S          
00035,A01,ARIS MINING MARMATO S.A.S          ,PARTSERV            ,0044654,03,9,BG00415432,GASKET                              ,1.00,1.400,1.400,P,LT,,,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,2026-01-28,2026-01-23 09:37:35,,,,,,2026-02-13 15:13:29,2026-02-13 15:13:30,PP,01,-6:00,2,,,,DDP,,,,,,,00:00:00,ARIS MINING MARMATO S.A.S          
00034,A02,MINERA EL ROBLE SA                 ,PARTSERV            ,0044602,11,1,69038400,"FILTER, FUEL                        ",2.00,0.670,1.340,P,LE,,,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,2026-01-23,2026-01-20 08:43:37,,,,,,2026-02-13 16:13:58,2026-02-13 16:13:58,PP,01,-6:00,2,,,,CIP,,,,,,,00:00:00,MINERA EL ROBLE SA                 

