Stockroom,Location,Item_Code,Item_Description,Quantity,Serial_Number,Arrival_Date,SIC_Code,GRN_Number,Supplier_Code,Order_Number,Order_Line,Cost_Per_Unit,Value,Fiscal_Document_Type,Tax_Engine_Status
01,Goods Inwards,BR00075730,EMR,1.00,,20260212,Z,22244,SMCDI,R027278,25,"6,552.09","6,552.09",,
01,Goods Inwards,BR00042791,HYDRAULIC MOTOR,1.00,,20260212,Z,22244,SMCDI,R027278,38,"2,057.22","2,057.22",,
01,Goods Inwards,7514-4870-S70,RETRAC BIT T38 70MM SH70,100.00,,20260212,0,22243,SMCDI,M028086,1,81.41,"8,141.00",,
01,Goods Inwards,BR00062002,BUSHING,8.00,,20260212,Z,22244,SMCDI,R027277,33,162.81,"1,302.48",,
01,Goods Inwards,BR00073468,BUSHING,4.00,,20260212,Z,22244,SMCDI,R027488,14,24.86,99.44,,
01,Goods Inwards,BR00045790,"WASHER,MAIN SWING YOKE",4.00,,20260212,Z,22244,SMCDI,R027278,6,157.57,630.28,,
01,Goods Inwards,BG01608872,"MANIFOLD, VALVE ASSEMBLY",1.00,,20260212,Z,22244,SMCDI,R027277,46,"1,399.89","1,399.89",,
01,Goods Inwards,77022090,RUBBER PAD,16.00,,20260212,L,22246,SMCDI,R028071,2,97.79,"1,564.64",,
01,Goods Inwards,07534055,RUBBER BAND,6.00,,20260212,Z,22246,SMCDI,R028074,1,4.07,24.42,,
01,Goods Inwards,78410466,VALVE,1.00,,20260212,Z,22246,SMCDI,R028071,7,486.06,486.06,,
01,Goods Inwards,BG00567545,SEAL KIT,1.00,,20260212,Y,22246,SMCDI,R028072,8,"1,084.84","1,084.84",,
01,Goods Inwards,04699374,FILTER,2.00,,20260212,Z,22246,SMCDI,R028071,3,17.88,35.76,,
01,Goods Inwards,56027382,PLATE,2.00,,20260212,Z,22246,SMCDI,R028070,15,127.14,254.28,,
01,Goods Inwards,7314-3155,COUPLING SLEEVE T38              RB,19.00,,20260212,X,22245,SMCDI,M028068,1,34.68,658.92,,
01,Goods Inwards,04704067,DRIVE SHAFT,1.00,,20260212,Z,22246,SMCDI,R028072,2,759.76,759.76,,
01,Goods Inwards,56001669,GREASE NIPPLE,2.00,,20260212,L,22246,SMCDI,R028070,8,1.16,2.32,,
01,Goods Inwards,56027383,PLASTIC PLATE,2.00,,20260212,L,22246,SMCDI,R028070,16,48.52,97.04,,
01,Goods Inwards,BG00340046,HINGE,2.00,,20260212,K,22246,SMCDI,R028071,8,283.80,567.60,,
01,Goods Inwards,02722101,PIPE,1.00,,20260212,Z,22246,SMCDI,R028070,14,286.81,286.81,,
01,Goods Inwards,04710050,SAFETY ELEMENT,7.00,,20260212,Z,22246,SMCDI,R028071,1,21.49,150.43,,
01,Goods Inwards,85647329,MALE STUD FITTING,1.00,,20260212,Z,22246,SMCDI,R028073,7,8.53,8.53,,
01,Goods Inwards,88289309,SEAL KIT,1.00,,20260212,L,22246,SMCDI,R028073,4,15.32,15.32,,
01,Goods Inwards,BG00323894,RETAINING RING,1.00,,20260212,Z,22246,SMCDI,R028073,3,2.27,2.27,,
01,Goods Inwards,BG01598933,ADAPTER,2.00,,20260212,Z,22246,SMCDI,R028070,10,14.08,28.16,,
01,Goods Inwards,02722091,PIPE,1.00,,20260212,Z,22246,SMCDI,R028070,13,286.81,286.81,,
01,Goods Inwards,BG00323889,O-RING SEAL,1.00,,20260212,Z,22246,SMCDI,R028073,1,8.87,8.87,,
01,Goods Inwards,56023917,FAN GUARD,1.00,,20260212,Z,22246,SMCDI,R028070,7,134.52,134.52,,
